Tahun,Kabupaten_Kota,Garis_Kemiskinan,Jumlah_Penduduk_Miskin,Persentase_Penduduk_Miskin
2019,Nias,361698,22.1,15.94
2019,Mandailing Natal,356058,40.64,9.11
2019,Tapanuli Selatan,364798,24.22,8.6
2019,Tapanuli Tengah,376474,46.99,12.53
2019,Tapanuli Utara,377948,28.57,9.48
2019,Toba Samosir,373020,15.78,8.6
2019,Labuhan Batu,389402,41.52,8.44
2019,Asahan,330460,70.53,9.68
2019,Simalungun,359540,76.33,8.81
2019,Dairi,341511,21.86,7.7
2019,Karo,460870,34.08,8.23
2019,Deli Serdang,390440,84.94,3.89
2019,Langkat,392050,103.08,9.91
2019,Nias Selatan,279468,52.51,16.45
2019,Humbang Hasundutan,336500,16.6,8.75
2019,Pakpak Bharat,287654,4.52,9.27
2019,Samosir,315825,15.79,12.52
2019,Serdang Bedagai,382283,48.69,7.9
2019,Batu Bara,408417,50.46,12.14
2019,Padang Lawas Utara,342885,26.06,9.6
2019,Padang Lawas,332350,23.17,8.28
2019,Labuhan Batu Selatan,368205,30.17,8.94
2019,Labuhan Batu Utara,422063,34.76,9.57
2019,Nias Utara,390564,34.42,24.99
2019,Nias Barat,393450,22.08,25.51
2019,Kota Sibolga,425236,10.82,12.36
2019,Kota Tanjung Balai,421671,24.54,14.04
2019,Kota Pematang Siantar,502726,21.99,8.63
2019,Kota Tebing Tinggi,460533,16.3,9.94
2019,Kota Medan,532055,183.79,8.08
2019,Kota Binjai,403798,15.61,5.66
2019,Kota Padangsidimpuan,382884,16.06,7.26
2019,Kota Gunungsitoli,339671,23.06,16.23
2020,Nias,405355,23.12,16.6
2020,Mandailing Natal,400721,41.31,9.18
2020,Tapanuli Selatan,397363,23.96,8.47
2020,Tapanuli Tengah,406646,47.19,12.38
2020,Tapanuli Utara,406813,28.41,9.37
2020,Toba Samosir,404864,16.05,8.71
2020,Labuhan Batu,425035,42.17,8.44
2020,Asahan,351314,66.32,9.04
2020,Simalungun,387549,73.64,8.46
2020,Dairi,380275,22.93,8.04
2020,Karo,500921,36.57,8.7
2020,Deli Serdang,413202,86.26,3.88
2020,Langkat,412422,101.87,9.73
2020,Nias Selatan,312453,53.88,16.74
2020,Humbang Hasundutan,374768,17.92,9.36
2020,Pakpak Bharat,311584,4.59,9.28
2020,Samosir,341843,15.8,12.48
2020,Serdang Bedagai,416991,49.18,7.97
2020,Batu Bara,452393,49.78,11.88
2020,Padang Lawas Utara,380379,26.79,9.7
2020,Padang Lawas,367932,23.87,8.37
2020,Labuhan Batu Selatan,404819,28.63,8.34
2020,Labuhan Batu Utara,471678,34.86,9.53
2020,Nias Utara,429836,34.74,25.07
2020,Nias Barat,433249,22.33,25.69
2020,Kota Sibolga,453786,10.49,11.95
2020,Kota Tanjung Balai,444125,23.54,13.33
2020,Kota Pematang Siantar,536486,21.23,8.27
2020,Kota Tebing Tinggi,493227,16.32,9.85
2020,Kota Medan,553796,183.54,8.01
2020,Kota Binjai,433746,15.91,5.71
2020,Kota Padangsidimpuan,417455,16.56,7.4
2020,Kota Gunungsitoli,370967,23.54,16.41
2021,Nias,428739,24.33,16.82
2021,Mandailing Natal,423017,43.24,9.49
2021,Tapanuli Selatan,420431,25.01,8.8
2021,Tapanuli Tengah,429050,49.95,12.67
2021,Tapanuli Utara,437428,29.72,9.72
2021,Toba Samosir,435332,16.61,8.99
2021,Labuhan Batu,457021,45.03,8.74
2021,Asahan,377752,69.29,9.35
2021,Simalungun,416714,76.99,8.81
2021,Dairi,408893,23.72,8.31
2021,Karo,531519,38.01,8.79
2021,Deli Serdang,428123,92.52,4.01
2021,Langkat,432371,106.59,10.12
2021,Nias Selatan,329308,55.16,16.92
2021,Humbang Hasundutan,397237,18.71,9.65
2021,Pakpak Bharat,332644,4.79,9.35
2021,Samosir,370082,16.08,12.68
2021,Serdang Bedagai,448372,51.16,8.3
2021,Batu Bara,477564,52.59,12.38
2021,Padang Lawas Utara,401435,28.37,9.92
2021,Padang Lawas,388404,25.78,8.69
2021,Labuhan Batu Selatan,426574,30.36,8.53
2021,Labuhan Batu Utara,497922,37.13,10.02
2021,Nias Utara,455118,35.84,25.66
2021,Nias Barat,458533,21.75,26.42
2021,Kota Sibolga,485527,10.8,12.33
2021,Kota Tanjung Balai,482602,24.1,13.4
2021,Kota Pematang Siantar,583588,22.06,8.52
2021,Kota Tebing Tinggi,536531,17.36,10.3
2021,Kota Medan,577126,193.03,8.34
2021,Kota Binjai,466554,16.46,5.81
2021,Kota Padangsidimpuan,453777,17.28,7.53
2021,Kota Gunungsitoli,408190,24.02,16.45
2022,Nias,454570,23.23,16.0
2022,Mandailing Natal,450345,40.98,8.92
2022,Tapanuli Selatan,445612,23.05,8.07
2022,Tapanuli Tengah,450940,47.07,11.71
2022,Tapanuli Utara,466316,27.47,8.93
2022,Toba Samosir,465681,16.48,8.89
2022,Labuhan Batu,489503,43.27,8.26
2022,Asahan,397944,64.49,8.64
2022,Simalungun,441744,72.47,8.26
2022,Dairi,436713,22.53,7.88
2022,Karo,563660,35.93,8.17
2022,Deli Serdang,448489,85.28,3.62
2022,Langkat,453383,100.45,9.49
2022,Nias Selatan,350452,54.16,16.48
2022,Humbang Hasundutan,419180,17.33,8.86
2022,Pakpak Bharat,357844,4.52,8.66
2022,Samosir,396267,14.97,11.77
2022,Serdang Bedagai,478072,48.22,7.82
2022,Batu Bara,508524,49.39,11.53
2022,Padang Lawas Utara,430944,26.09,8.94
2022,Padang Lawas,418610,24.45,8.05
2022,Labuhan Batu Selatan,448994,29.38,8.09
2022,Labuhan Batu Utara,527922,33.91,9.09
2022,Nias Utara,474533,32.87,23.4
2022,Nias Barat,487469,20.42,24.75
2022,Kota Sibolga,516367,10.05,11.47
2022,Kota Tanjung Balai,515456,22.65,12.45
2022,Kota Pematang Siantar,631886,20.53,7.88
2022,Kota Tebing Tinggi,578512,16.34,9.59
2022,Kota Medan,607166,187.74,8.07
2022,Kota Binjai,499451,14.61,5.1
2022,Kota Padangsidimpuan,480196,16.03,6.89
2022,Kota Gunungsitoli,426349,21.85,14.81
2023,Nias,485533,21.99,15.1
2023,Mandailing Natal,487436,41.04,8.86
2023,Tapanuli Selatan,480834,20.09,7.01
2023,Tapanuli Tengah,489760,47.09,11.5
2023,Tapanuli Utara,499881,26.39,8.54
2023,Toba Samosir,496950,14.94,8.04
2023,Labuhan Batu,524240,42.58,7.99
2023,Asahan,427293,61.69,8.21
2023,Simalungun,467926,69.21,7.87
2023,Dairi,463360,21.42,7.47
2023,Karo,606244,35.65,7.98
2023,Deli Serdang,479509,82.75,3.44
2023,Langkat,483543,98.16,9.23
2023,Nias Selatan,379929,54.29,16.39
2023,Humbang Hasundutan,451625,17.14,8.69
2023,Pakpak Bharat,384812,4.01,7.54
2023,Samosir,425875,14.86,11.66
2023,Serdang Bedagai,503955,45.88,7.44
2023,Batu Bara,556529,49.18,11.38
2023,Padang Lawas Utara,467457,26.17,8.79
2023,Padang Lawas,449217,24.51,7.89
2023,Labuhan Batu Selatan,486275,29.83,8.06
2023,Labuhan Batu Utara,573783,34.13,9.08
2023,Nias Utara,501443,30.78,21.79
2023,Nias Barat,520543,18.86,22.81
2023,Kota Sibolga,568188,10.02,11.42
2023,Kota Tanjung Balai,554065,22.45,12.21
2023,Kota Pematang Siantar,670183,18.96,7.24
2023,Kota Tebing Tinggi,623531,16.36,9.49
2023,Kota Medan,651901,187.28,8.0
2023,Kota Binjai,538638,13.85,4.79
2023,Kota Padangsidimpuan,523244,16.15,6.85
2023,Kota Gunungsitoli,459787,22.03,14.78
